question,answer
What is an anomaly detection model?,A type of machine learning model trained to identify rare or unusual items or events that break normal patterns
How do streaming services use ML?,They use collaborative filtering algorithms to analyze your watching habits and match you with content liked by similar users
How do email filters catch spam?,They use text classification models to scan message content and metadata for phrases and patterns common to scams
How do credit card companies spot fraud?,They use real-time anomaly detection models to instantly flag transactions that do not match your historical spending habits
How do autonomous cars see pedestrians?,They use deep convolutional neural networks to process real-time video feeds from cameras and draw bounding boxes around objects
How is ML used in healthcare imaging?,Computer vision models are trained on thousands of labeled scans to spot microscopic signs of tumors or fractures
What is Sentiment Analysis?,The use of natural language processing to scan text blocks and determine if the emotional tone is positive or negative or neutral
How do predictive maintenance models work?,They look at sensor data from industrial machinery over time to forecast exactly when a part is likely to break
What is the No Free Lunch Theorem?,A mathematical concept stating that no single machine learning algorithm works best for every single real-world problem
What is a prompt in generative AI?,The input text or instructions provided by a user to guide a generative model output
